FW_name,temperature_C,lat,lon,ecosystem.type,sampling.start.year,sampling.end.year,study_ID,stability,flux,second.consumption,prim.consumption,biomass,animal.biomass,plant.biomass,S,L,LD,C,generality,vulnerability,MeanTL,MaxTL,sim.sec.cons,sim.prim.cons,sim.total,prim.cons.richness,sec.cons.richness,SC
PC1P1,20,32.775718,-16.826017,Marine,2013,2015,Intertidal rockpools,0.003092979,427.389582,2.858856098,424.5307259,18.06011429,11.4928,6.567314286,22,88,4,0.181818182,0.056110309,0.086036208,2.019341373,4.166666667,0.604876468,0.519070046,0.671658132,7,9,1
PC1P2,20,32.775723,-16.826053,Marine,2013,2015,Intertidal rockpools,0.072786605,499.1119779,49.93938798,449.17259,15.48015,11.05725,4.4229,21,106,5.047619048,0.240362812,0.04759022,0.050753069,1.981479518,3.186530612,0.509090428,0.477216525,0.558592555,10,11,1
PC1P3,21,32.775719,-16.825975,Marine,2013,2015,Intertidal rockpools,0.005054988,521.9261951,6.258391215,515.6678038,19.75069444,14.2205,5.530194444,25,111,4.44,0.1776,0.043523864,0.064696002,2.155682338,3.752219532,0.618163805,0.53786075,0.651952694,10,17,1
PC1P4,21,32.775718,-16.825992,Marine,2013,2015,Intertidal rockpools,0.095953727,531.5020966,31.246867,500.2552296,14.78981111,7.8299,6.959911111,17,75,4.411764706,0.259515571,0.076312053,0.081649658,1.824542071,3,0.472896895,0.483670496,0.556587445,8,8,1
PC2P1,21,32.775966,-16.825909,Marine,2013,2015,Intertidal rockpools,0.002418879,445.7086452,11.70302711,434.0056181,10.56438,5.5602,5.00418,19,73,3.842105263,0.202216066,0.068836757,0.079599549,1.737767781,3.377198481,0.514751518,0.499535794,0.633835082,8,7,1
PC2P2,22,32.775963,-16.825893,Marine,2013,2015,Intertidal rockpools,0.000226004,6385.030106,335.1714618,6049.858644,669.4317143,453.486,215.9457143,31,167,5.387096774,0.173777315,0.031973933,0.068430691,1.949469002,4,0.532594075,0.538657379,0.603022965,11,19,1
PC2P3,22,32.776023,-16.825907,Marine,2013,2015,Intertidal rockpools,0.040644714,751.8365125,81.67664767,670.1598648,20.20015385,14.589,5.611153846,18,54,3,0.166666667,0.050814396,0.083703174,2.092678326,3.5,0.581584821,0.56078869,0.6079459,8,8,1
PC2P4,24,32.776016,-16.825883,Marine,2013,2015,Intertidal rockpools,0.101977405,766.8112257,38.1954341,728.6157916,16.7704,9.5121,7.2583,17,62,3.647058824,0.214532872,0.064248734,0.175682092,1.5962287,2.323611111,0.22191333,0.401102865,0.367039887,7,8,1
PC2P5,26,32.77602,-16.82587,Marine,2013,2015,Intertidal rockpools,0.36247955,949.7772964,131.3970395,818.3802569,10.67733333,8.897777778,1.779555556,12,26,2.166666667,0.180555556,0.074855668,0.095079468,2.071527778,3.129166667,0.548324515,0.637526945,0.637526945,9,6,1
PGSBP1,28,-23.824578,-45.412609,Marine,2013,2015,Intertidal rockpools,0.260748259,1481.711792,125.4573061,1356.254486,13.44569231,11.07292308,2.372769231,17,40,2.352941176,0.138408304,0.056555543,0.070380253,2.303968254,3.75,0.710913146,0.631093795,0.73240264,10,11,1
