"FW_name","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","temperature","study_ID","stability","flux","second.consumption","prim.consumption","S","MaxTL","sim.sec.cons","sim.prim.cons","sim.total"
"HEW02",51.21,10.37,"Soils",2008,2011,8.804931507,"Biodiversity exploratories",4948.51363841152,6772.9526459395,184.239476873569,6588.71316906594,117,4.50039712621183,0.743355677226691,0.859815024638096,0.857297362679161
"HEW03",51.27,10.31,"Soils",2008,2011,8.509594595,"Biodiversity exploratories",17158.83493017,6085.36300438882,245.252442101635,5840.11056228718,114,4.68446552958534,0.696595334518814,0.839252489912523,0.839320166012617
"HEW04",51.37,10.53,"Soils",2008,2011,8.360405405,"Biodiversity exploratories",3786.3174385024,3599.26239893617,129.437280577449,3469.82511835872,107,3.93610033038291,0.682331781728806,0.84234985511972,0.824104469716501
"HEW05",51.26,10.24,"Soils",2008,2011,8.825949367,"Biodiversity exploratories",12646.8986032935,7562.95075003661,422.505101894432,7140.44564814218,159,4.61237610155509,0.732379331752895,0.836857021429599,0.826757130976539
"HEW06",51.27,10.24,"Soils",2008,2011,8.565333333,"Biodiversity exploratories",5078.22797444065,5882.59006328036,376.177079878867,5506.41298340149,133,4.46059558980453,0.720513714403125,0.842362781556226,0.840764960376431
"HEW10",51.09,10.46,"Soils",2008,2011,8.455609756,"Biodiversity exploratories",3144.98478839885,5826.18162362633,125.658819650975,5700.52280397535,82,4.80274221980717,0.679924640173316,0.787683010993323,0.822180743609787
"HEW11",51.1,10.4,"Soils",2008,2011,7.866031746,"Biodiversity exploratories",3912.41722970512,7088.76574820955,266.51771511165,6822.2480330979,123,4.31528348707792,0.705945838746513,0.847074863807465,0.841980827221621
"HEW12",51.1,10.46,"Soils",2008,2011,8.378157895,"Biodiversity exploratories",9398.64330182371,4118.54896362663,419.221556889401,3699.32740673723,134,4.32413612287542,0.693143508412495,0.850904673513567,0.840427185255484
"HEW13",51.24,10.31,"Soils",2008,2011,8.308860759,"Biodiversity exploratories",4260.81557385749,7819.88774458544,182.894125831408,7636.99361875403,135,4.15566257131855,0.685156709594339,0.849176400918319,0.842858683530809
"HEW16",51.18,10.37,"Soils",2008,2011,8.805285714,"Biodiversity exploratories",3916.098461733,5273.25321904352,377.343979296613,4895.9092397469,123,4.49335891551597,0.696187423086945,0.854182291177274,0.847490930385432
"HEW17",51.28,10.23,"Soils",2008,2011,8.242957746,"Biodiversity exploratories",5138.77652345715,5022.91371379248,505.018297504389,4517.8954162881,130,4.28222647585363,0.749788733743454,0.848245743145054,0.852009679441813
"HEW21",51.19,10.32,"Soils",2008,2011,8.814133333,"Biodiversity exploratories",7770.70712113284,6178.98091292492,199.02038425195,5979.96052867297,137,4.15186747292786,0.766003774000086,0.856976695575674,0.839098972810195
"HEW22",51.34,10.36,"Soils",2008,2011,8.686323529,"Biodiversity exploratories",4198.23249091287,6043.55756203571,445.595314660069,5597.96224737565,128,4.43926823664011,0.721262885078976,0.834627951345706,0.844080230393638
"HEW36",51.11,10.41,"Soils",2008,2011,8.446811594,"Biodiversity exploratories",6797.6296181531,6974.63260182014,572.154109857357,6402.47849196279,151,4.5436023148696,0.703000395261392,0.840648203334264,0.846311777752964
"HEW47",51.18,10.38,"Soils",2008,2011,8.967164179,"Biodiversity exploratories",7166.03726697691,6727.40711361257,608.126980990061,6119.28013262251,139,4.63907366953174,0.66131182770178,0.827890073109624,0.829859140699401
"SEW01",52.9,13.85,"Soils",2008,2011,9.4845,"Biodiversity exploratories",16497.2630931385,2695.05990397929,188.631561436795,2506.42834254249,95,4.46141505652106,0.690840082037213,0.826728228425854,0.831786994703158
"SEW02",52.95,13.78,"Soils",2008,2011,8.662142857,"Biodiversity exploratories",17777.8883639755,5450.12059975901,138.029797804156,5312.09080195486,84,4.36638929806127,0.754071203864088,0.81564056461211,0.818581100182791
"SEW03",52.92,13.64,"Soils",2008,2011,9.212884615,"Biodiversity exploratories",9831.10098368398,3114.1364493241,281.105978042599,2833.0304712815,113,4.73508375465907,0.693068334370159,0.832975335428681,0.846596059050306
"SEW04",52.92,13.85,"Soils",2008,2011,8.976615385,"Biodiversity exploratories",12759.5483244583,5042.30326524376,545.342148466903,4496.96111677686,111,4.42278124068489,0.70615717096599,0.840402410090223,0.819178242510021
"SEW05",53.06,13.89,"Soils",2008,2011,10.80631579,"Biodiversity exploratories",6556.40485305912,3660.86378139155,298.085885768759,3362.77789562279,92,4.08202795353497,0.610143127747974,0.836417659489081,0.83718640300469
"SEW06",52.91,13.84,"Soils",2008,2011,10.85970588,"Biodiversity exploratories",22966.7855999099,6914.51563853039,814.900351356647,6099.61528717374,118,4.98194041987489,0.708743162562349,0.838841128755782,0.829991812200291
"SEW07",53.11,13.69,"Soils",2008,2011,9.296923077,"Biodiversity exploratories",3400.08487656168,3346.27200625945,659.615412887177,2686.65659337227,123,4.54779573847765,0.643448922362428,0.820892625263347,0.827995258123146
"SEW08",53.19,13.93,"Soils",2008,2011,9.087666667,"Biodiversity exploratories",7531.32209730378,2885.09024385453,327.492541744046,2557.59770211048,109,4.54943278594406,0.710048154752739,0.836081907048982,0.847809906991558
"SEW09",53.04,13.81,"Soils",2008,2011,9.095666667,"Biodiversity exploratories",8271.62091892995,2226.2788108377,327.36073876314,1898.91807207456,80,4.28618400254517,0.682148592151801,0.821823447520706,0.839291112428486
"SEW18",52.86,13.92,"Soils",2008,2011,9.632,"Biodiversity exploratories",30700.0433519422,9300.8869139891,885.403167043595,8415.48374694551,114,4.84571290231791,0.63961619532341,0.801648459200111,0.807555259988471
"SEW35",52.91,13.85,"Soils",2008,2011,9.902,"Biodiversity exploratories",7827.18749065424,5236.45674848439,232.829041975327,5003.62770650907,92,4.27379450109624,0.649565922878679,0.836620332145918,0.832285155048494
"SEW36",52.95,13.75,"Soils",2008,2011,8.330227273,"Biodiversity exploratories",10726.9175364116,4082.15349405516,252.811192766297,3829.34230128887,80,4.78416223653863,0.697154379175166,0.801292151098004,0.816243579912839
"SEW37",52.94,13.78,"Soils",2008,2011,9.719245283,"Biodiversity exploratories",7794.59172157489,6454.82819731898,1040.54913324908,5414.2790640699,109,4.92488875983032,0.700158857153051,0.835789813356125,0.841312484395029
"SEW41",52.91,13.91,"Soils",2008,2011,11.06315789,"Biodiversity exploratories",12538.6019686318,3921.63582179189,436.711185281152,3484.92463651074,109,4.57786968886151,0.678059345878548,0.823600396305367,0.819904251114662
"SEW43",52.9,13.93,"Soils",2008,2011,9.547,"Biodiversity exploratories",22706.8807764782,3621.18323462021,159.609172119225,3461.57406250098,111,4.60338848516244,0.687881221167185,0.826499302880104,0.823209237149278
"SEW48",53.05,13.84,"Soils",2008,2011,9.407272727,"Biodiversity exploratories",11332.4344065162,3525.18847578179,259.018435466879,3266.17004031491,109,4.39044924854058,0.700076251571582,0.845127337814974,0.847344770450326
"foodweb1",44.475455,38.149605,"Soils",2013,2013,10,"Russian soils",16.9230347111443,3094.99360440159,1584.2585831241,1510.73502127749,69,4.04966195488722,0.698201015005647,0.428361782687557,0.775742343933876
"foodweb2",44.715321,37.592342,"Soils",2013,2013,13.5,"Russian soils",15.7948890015034,2979.11032755523,1554.90573064966,1424.20459690557,85,4.06748283432031,0.704957093148263,0.510695612791274,0.774521924226553
"foodweb3",44.588447,37.969701,"Soils",2013,2013,11.2,"Russian soils",96.8291476275645,5365.74693593478,43.8980373662793,5321.8488985685,83,3.94059281565968,0.736124802977715,0.548964551403845,0.776044367755052
"foodweb4",44.747369,37.409939,"Soils",2013,2013,15.7,"Russian soils",180.093659600447,5510.02072418223,28.3678029451745,5481.65292123706,61,4.37106450264246,0.707391830456579,0.54679402828931,0.770334882510222
"foodweb5",52.594845,38.923564,"Soils",2013,2013,16.6,"Russian soils",846.496933451377,32590.1671651244,54.32853855968,32535.8386265647,71,4.05050505050505,0.767061247660264,0.542543656404715,0.78555913896419
"foodweb6",52.580094,39.000751,"Soils",2013,2013,15.3,"Russian soils",21.6807759607618,3682.72668140695,1965.13493080309,1717.59175060386,69,3.94588788391296,0.741231262097922,0.529026808758243,0.774399886484157
"foodweb7",51.818968,39.393242,"Soils",2013,2013,18.5,"Russian soils",33.9067954195707,5522.54077162031,2801.55083186627,2720.98993975405,71,4.08310695965477,0.756998045037137,0.536679213516999,0.773675898120745
"foodweb8",51.812436,39.389963,"Soils",2013,2013,26.5,"Russian soils",305.7280033016,19517.6196187494,189.946820235458,19327.672798514,78,4.11431323684594,0.744209654392823,0.579565923321923,0.788137782858198
"foodweb9",56.647912,37.443685,"Soils",2013,2013,23.1,"Russian soils",373.718110152098,9773.84153383563,43.0834465618421,9730.75808727379,86,3.95425243616033,0.754736944736334,0.649807703013295,0.773841717881529
"foodweb10",56.521919,37.62822,"Soils",2013,2013,22,"Russian soils",111.323122148668,6283.81443880807,23.3992097525827,6260.41522905548,76,4.00474682271557,0.708458910904105,0.60113947926545,0.785304598514715
"foodweb11",56.155257,32.817537,"Soils",2013,2013,22,"Russian soils",118.958458514586,9338.04500010705,26.2073996025763,9311.83760050447,92,4.01241435185185,0.714343466144649,0.550104796450272,0.778528385828745
"foodweb12",56.140112,32.718251,"Soils",2013,2013,26.1,"Russian soils",284.028180245608,7101.27864207845,36.3381360202121,7064.94050605823,79,3.89485108145822,0.746681346080071,0.42116779557827,0.788240460504761
"foodweb13",61.99292,34.17444,"Soils",2013,2013,19.3,"Russian soils",522.819958483443,6052.77952707286,40.2249045710993,6012.55462250176,78,4.09097222222222,0.669187179451091,0.636936727404549,0.75528953803139
"foodweb14",61.85056,34.41325,"Soils",2013,2013,13.7,"Russian soils",59.2093591314842,5896.26248836574,2934.01909059632,2962.24339776942,81,4.20765306765307,0.742180507475767,0.59741769191294,0.791639777963986
"foodweb15",60.33975,33.13269,"Soils",2013,2013,14.6,"Russian soils",86.1594851706632,6034.4509025998,21.0932804975769,6013.35762210223,60,4.0803636245343,0.710120043764951,0.567595992775341,0.772215160539061
"foodweb16",60.32878,33.14875,"Soils",2013,2013,20.2,"Russian soils",55.3198060345685,3591.81917780894,25.354526518855,3566.46465129009,63,4.15707092614987,0.722128716925234,0.642852259532191,0.777401586386561
"foodweb17",66.82928,34.0389,"Soils",2013,2013,10.6,"Russian soils",14.4059969370755,1134.16479186455,9.58213575690678,1124.58265610764,58,3.99590120598994,0.678533272507595,0.425259259259259,0.756879384218124
"foodweb18",66.79567,34.18753,"Soils",2013,2013,16.1,"Russian soils",17.6586586635563,1680.05711688005,17.8096009228848,1662.24751595716,55,4.14235340417159,0.705880694476633,0.465222222222222,0.776423476346308
"foodweb19",66.78124,34.19601,"Soils",2013,2013,14.9,"Russian soils",15.6988705338162,1519.09136912797,17.5753267679306,1501.51604236004,51,3.94253302253302,0.680857914125005,0.492071941898931,0.764688696943027
"foodweb20",67.07881,33.17981,"Soils",2013,2013,11.5,"Russian soils",39.3810139187108,4067.18416492573,1.6140063540385,4065.57015857169,62,3.99625774420604,0.633756832686879,0.480347694633409,0.736395625793777
