"FW_name","temperature_C","ecosystem.type","study_ID","lat","lon","sampling.start.year","sampling.end.year","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"Chub pond",19.03333333,"Lakes","Adirondack lakes",43.55416667,-75.05555556,1984,1984,311446423.766565,484.847441275139,29.827438081128,455.020003194011,111.83237709405,50,0.143511055433549,3.2630421865716,0.241274982845031,0.624927651795442,0.664608956001139,"347",6.94,0.1388,0.0793557770553375
"Connera lake",14.18181818,"Lakes","Adirondack lakes",44.30638889,-73.935,1984,1984,70045956.0260301,80.5597523088787,10.5718222459964,69.9879300628823,313771.612714795,61,0.0419870825828569,3.96287466100696,0.665020802127956,0.618480315980316,0.765998410761831,"363",5.95081967213115,0.097554420854609,0.114799170764965
"Constable lake",20.85,"Lakes","Adirondack lakes",43.83055556,-74.81,1984,1984,3234617.84943445,364.263802465991,11.7468587929823,352.516943673009,6.2602018962101,30,0.144031000457948,2.66666666666667,0.0714285714285715,0.497354497354497,0.565714285714286,"53",1.76666666666667,0.0588888888888889,0.0615384615384615
"Deep lake",11.35,"Lakes","Adirondack lakes",43.61611111,-74.66444444,1984,1984,441794.319408299,21.2478876660849,0.00287409791390371,21.245013568171,0.00475218537992187,19,0.060441,2.75,0.5,0.56,0.604081632653061,"27",1.42105263157895,0.074792243767313,0.0267857142857143
"Emerald lake",22,"Lakes","Adirondack lakes",44.02277778,-75.02111111,1984,1984,9680.89656074621,1252.76023427854,388.630223612863,864.130010665675,16.6311980340579,22,0.474767,3.125,0.555636363636364,0.457912457912458,0.590833959429001,"54",2.45454545454545,0.111570247933884,0.0920454545454547
"Falls lake",12.81111111,"Lakes","Adirondack lakes",43.6325,-74.68333333,1984,1984,35791.5514880808,78.5703079840304,1.36565766455594,77.2046503194744,1.64233804544193,36,0.315189000610598,3.08333333333333,0.373626373626374,0.320882352941176,0.557279632640919,"121",3.36111111111111,0.0933641975308642,0.00980392156862745
"Fawn lake",21.9,"Lakes","Adirondack lakes",43.71333333,-74.77944444,1984,1984,36598898.8797759,274.198848604989,1.71033947450149,272.488509130487,0.163818795005407,28,0.496095014806994,3.14285714285714,0.523428571428571,0.531428571428571,0.666104858104858,"91",3.25,0.116071428571429,0.028676085818943
"Federation lake",18.05,"Lakes","Adirondack lakes",44.33972222,-74.41222222,1984,1984,23117.6903468841,213.065266476772,0.0313298665239102,213.033936610249,0.0155315296963027,20,0.396687003205638,3,0,0.436835891381346,0.51984126984127,"40",2,0.1,1.64346021921044e-32
"Goose lake",24,"Lakes","Adirondack lakes",43.78027778,-74.90388889,1984,1984,20192398.180541,1246.1488547276,51.5002126186636,1194.64864210894,8.8317669290824,37,2.03989801127584,3.26666666666667,0.390016233766234,0.717857142857143,0.751942037895215,"66",1.78378378378378,0.0482103725346969,0.0743833943833944
"Grass lake",15.34,"Lakes","Adirondack lakes",44.37694444,-74.34722222,1984,1984,98298572.9333505,254.116094256631,0.775826606855175,253.340267649775,38215.7722722931,40,0.33344801053281,3.33099415204679,0.452205882352941,0.540234813855561,0.578516118226739,"115",2.875,0.071875,0.0364773369420954
"Gull lake",21.03333333,"Lakes","Adirondack lakes",43.55138889,-75.06805556,1984,1984,80595.7629819088,530.321851816865,72.2104996528615,458.111352164003,3.51588578532309,40,0.34247703097496,3.21701982228298,0.210580065359477,0.65737714839022,0.530165770011708,"170",4.25,0.10625,0.0495540840376679
"Gull lake north",21.275,"Lakes","Adirondack lakes",43.8625,-74.81972222,1984,1984,5.9463357298586e-09,220.182682490135,0.0370161721573406,220.145666317977,0.00510478486660202,15,0.357239,2.8,0,0.5,0.5,"19",1.26666666666667,0.0844444444444444,0.032
