"FW_name","temperature_C","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","study_ID","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"CR2P4",23,38.710653,-9.485925,"Marine",2013,2015,"Intertidal rockpools",0.0341588018877555,905.362834193631,132.438447789425,772.924386404206,0.123098834393885,35,1042.34902675636,4.18671798631476,0.743130710920354,0.659619729745944,0.696294726515124,139,3.97142857142857,0.113469387755102,0.199449474517705
"F1P1",24,-25.969864,32.991403,"Marine",2013,2015,"Intertidal rockpools",0.0113598567389965,1047.76862822572,102.477265002002,945.291363223721,0.00570946326064325,54,795.157445348715,4,0.765063132282666,0.557306935326259,0.772302473905393,238,4.40740740740741,0.0816186556927298,0.164754882675057
"F1P2",24,-25.969947,32.991658,"Marine",2013,2015,"Intertidal rockpools",0.00751613150896122,496.909156374224,41.0711563240003,455.838000050223,0.00767554922984328,48,791.995700221379,4,0.667841120669774,0.546478059108231,0.68817588867996,253,5.27083333333333,0.109809027777778,0.0873618457774047
"F1P3",24,-25.970258,32.992506,"Marine",2013,2015,"Intertidal rockpools",0.265676321160191,1468.60764781784,178.115130290308,1290.49251752753,0.0373798772346868,47,793.83846429771,3.83333333333333,0.728488252580245,0.612775233538391,0.746068562673077,213,4.53191489361702,0.0964237211407877,0.12789308287284
"F1P4",24,-25.970464,32.992661,"Marine",2013,2015,"Intertidal rockpools",0.000132091062641575,681.723563899892,192.251226526639,489.472337373253,0.0716674722237027,49,789.420964373316,4.30272029760521,0.69897911458062,0.386577463117041,0.708935491778315,291,5.93877551020408,0.121199500208247,0.0459812082951239
"F2P1",24,-25.971056,32.993669,"Marine",2013,2015,"Intertidal rockpools",0.00428620031698534,405.937554279452,92.3026236773059,313.634930602146,0.126929160565898,58,773.879419843547,4.66865079365079,0.78323341930044,0.526427304425389,0.761806759282934,356,6.13793103448276,0.105826397146254,0.124163751215481
"F2P2",24,-25.971186,32.993579,"Marine",2013,2015,"Intertidal rockpools",0.22234628900395,709.223059912868,179.597845742663,529.625214170204,0.0788218541702388,45,816.605751349039,4.8843537414966,0.786172686761631,0.560697555262773,0.804433670948617,174,3.86666666666667,0.0859259259259259,0.178652003889621
"F2P3",23,-25.971569,32.993542,"Marine",2013,2015,"Intertidal rockpools",0.00667864040375188,494.046031468856,64.5719165184296,429.474114950426,0.0473593087612275,53,791.947456550978,4.78378378378379,0.796785609037289,0.596495990315166,0.792108963814917,259,4.88679245283019,0.0922036311854753,0.163414721302451
"F2P4",23,-25.971744,32.99355,"Marine",2013,2015,"Intertidal rockpools",0.0332910352217508,463.037390878049,61.7008200405423,401.336570837507,0.0313221558277772,52,819.318148874123,4.11388888888889,0.775810749564069,0.604345639066766,0.777543579366317,251,4.82692307692308,0.0928254437869823,0.112324906283338
"FP1",27,-23.529452,-45.157673,"Marine",2013,2015,"Intertidal rockpools",0.0199575633120274,379.531148909619,72.941721518338,306.589427391281,0.0556754781690521,22,763.970963668948,3.66666666666667,0.6252405002405,0.589082792207792,0.668104031385281,57,2.59090909090909,0.117768595041322,0.12787612914552
"FXAP1",30,-3.2116634,-39.26622,"Marine",2013,2015,"Intertidal rockpools",0.0571452492407971,9065.45194533946,182.397662692559,8883.05428264691,0.0213092373620485,46,23524.9518685084,3.05263157894737,0.522065415035025,0.530906236668744,0.571028585053629,372,8.08695652173913,0.175803402646503,0.151270142065283
"FXAP2",30,-3.216738,-39.266191,"Marine",2013,2015,"Intertidal rockpools",0.00931262876126654,993.03642006643,179.748500530339,813.287919536091,0.271897427454333,45,698.760977511717,3.22548623287136,0.617910943244786,0.534420212045438,0.651376697244176,338,7.51111111111111,0.166913580246914,0.148666193099078
"FXAP3",31,-3.216667,-39.26613,"Marine",2013,2015,"Intertidal rockpools",0.02364044570177,701.181709514142,110.994620502972,590.18708901117,0.131206781531799,36,525.630337536987,3.16654553918355,0.579653582937937,0.564667753543708,0.562886338287618,250,6.94444444444444,0.192901234567901,0.138461623086154
"FXAP4",31,-3.216639,-39.266168,"Marine",2013,2015,"Intertidal rockpools",0.0306245708148762,485.132335933006,49.3261485568904,435.806187376116,0.0046570008978429,27,524.274105149766,3.75,0.614531497148685,0.577928063222181,0.657046485370585,132,4.88888888888889,0.181069958847737,0.268446680822674
"FXBP1",32,-3.217707,-39.268045,"Marine",2013,2015,"Intertidal rockpools",0.00610010179052495,307.068253621703,11.8264129400752,295.241840681628,0.00030820126305795,31,541.578959276018,3,0.526516220166807,0.562720827762711,0.575522577292155,179,5.7741935483871,0.186264308012487,0.134339429346027
"FXBP2",31,-3.217727,-39.267981,"Marine",2013,2015,"Intertidal rockpools",0.00943261794820022,818.223992755078,52.3973557157549,765.826637039323,0.0336710926542675,45,537.100003416107,3.5,0.56475541783665,0.582192397098435,0.593929253752783,317,7.04444444444444,0.156543209876543,0.149374786359782
"FXBP3",29,-3.217815,-39.268296,"Marine",2013,2015,"Intertidal rockpools",0.016008931012434,669.512654125749,48.9412062881573,620.571447837592,0.018745748035265,48,526.243185449984,3.41670787652305,0.632288044907709,0.579961366737162,0.641413155980228,367,7.64583333333333,0.159288194444444,0.171846106333101
"FXBP4",29,-3.217817,-39.26822,"Marine",2013,2015,"Intertidal rockpools",0.0133051688060429,1236.55174858734,155.668168943416,1080.88357964393,0.175512248636175,49,529.922345137528,3.24570516809326,0.593767836232309,0.541453730826184,0.610200320029463,414,8.44897959183673,0.172428154935444,0.142701726555076
"GJAP1",31,-3.23754,-39.230439,"Marine",2013,2015,"Intertidal rockpools",0.000155073444107052,975.101552160972,36.6103826905605,938.491169470412,0.000924267778332065,31,516.855229296406,3.27934745556367,0.457151981191763,0.407700017638519,0.560650798010548,210,6.7741935483871,0.218522372528616,0.168881184610732
