FW_name,temperature,location,lat,lon,ecosystem.type,study.site,pH,c.forest,fish,MN_slope,triv_length,triv_slope,buffer.landuse,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,geographic.location.updated,link.citation,link.methodology,con.size.citation,con.size.method,res.size.citation,res.size.method
Mosedale Beck,9.8,UK,54.40799,-3.14464,Streams,UK streams,5.85,0.597640518,TRUE,-1.235315701,9.030112682,-0.859228317,Moorland,245,1,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
Nant Clywedog Uchaf,10.25,UK,52.14532,-3.98294,Streams,UK streams,5.94,1.454975501,TRUE,-1.036462202,9.438116927,-0.694537416,Moorland,230,1,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Nant Gelli Gethin,9.53,UK,52.6479,-3.40716,Streams,UK streams,7.1,0.595404293,TRUE,-0.82014546,8.832413582,-0.766119831,Moorland,290,1,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Nant Gwryd,10.57,UK,53.09602,-3.94247,Streams,UK streams,6.14,0.035127828,TRUE,-0.910522708,10.4963804,-0.988963844,Moorland,210,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Nant Pen y Cwm,9.53,UK,52.6422,-3.40737,Streams,UK streams,6.82,1.100995632,TRUE,-0.922362126,9.38768488,-0.863622394,Moorland,250,1,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Narrator Brook,8.16,UK,50.50447,-4.01961,Streams,UK streams,6.03,1.231661929,TRUE,-1.451721143,11.0811155,-1.129315897,Deciduous,225,1,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Old Lodge,13.47,UK,51.04404,0.07723,Streams,UK streams,5,0.041630938,TRUE,-1.126950373,8.944071192,-1.010820914,Moorland,94,1,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Bure,8.9,UK,52.82422,1.20137,Streams,UK streams,7.935,0.972825524,TRUE,-0.970570179,10.04988306,-0.862384468,Deciduous,20,1,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Duddon,9.8,UK,54.40515,-3.16112,Streams,UK streams,5.78,0.486226556,TRUE,-1.168780908,7.677093466,-0.778059423,Moorland,225,1,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
River Etherow,8.63,UK,53.49273,-1.82514,Streams,UK streams,5.27,0.156966329,FALSE,-1.354444365,11.56432949,-1.045692069,Moorland,280,1,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
River Fiddich,13,UK,57.44091616,-3.111135813,Streams,UK streams,7.7,1.250110933,TRUE,-0.96837266,9.512635341,-0.946039146,Deciduous,163,1,spring,2009,2009,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Loddon,13.53,UK,51.29222,-1.01787,Streams,UK streams,7.855625,1.044178274,TRUE,-0.881192525,9.879528666,-0.870137898,Deciduous,60,1,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Lyde,11.4,UK,51.28754,-1.00226,Streams,UK streams,8.0575,1.357833036,TRUE,-0.924383265,8.840773581,-0.91536816,Deciduous,60,1,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Test,12.28,UK,51.13945,-1.47351,Streams,UK streams,8.11027027,1.125440031,TRUE,-0.904260594,8.775018697,-0.779443585,Deciduous,43,1,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Wensum,9.12,UK,52.77651,0.95006,Streams,UK streams,7.88,0.930456576,TRUE,-0.941436256,9.68998145,-0.827536457,Deciduous,24,1,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Upper Duhonw,10.61,UK,52.12884,-3.39794,Streams,UK streams,7.9,0.869700772,TRUE,-0.88822024,9.325726649,-0.778848159,Deciduous,155,1,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Upper Llugwy,8.53,UK,53.11242,-3.9173,Streams,UK streams,6.14,0.023353397,TRUE,-0.973045527,9.189206276,-0.885734132,Moorland,180,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Wrynose Pass Beck,9.8,UK,54.41411,-3.12022,Streams,UK streams,6.42,0,FALSE,-1.276623504,8.410139345,-0.678378028,Moorland,345,1,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
