"Achnanthes","Achnanthes lanceolata","Achnanthes levanderi","Achnanthes minutissima","Achnanthes subatomoides","Baetis rhodani","Brachyptera risi","Chironomidae","Chloroperla tripunctata","Cottus gobio","CPOM","Diatoma hyemalis","Drusus annulatus","Electrogena lateralis","Encyonema minutum","Esolus parallelepipedus","Eunotia exigua","Eunotia incisa","Eunotia rhomboidea","FPOM","Fragilaria capucina","Fragilaria ulna","Gomphonema parvulum","Hydracarina","Isoperla grammatica","Leuctra inermis","Leuctra nigra","Limnius volckmari","Meridion circulare constrictum","Micropterna lateralis","Micropterna sequax","Navicula rhyncocephala","Navicula seminulum","Odontocerum albicorne","Oligochaeta","Perlodes microcephalus","Pinnularia subcapitata","Rhithrogena semicolorata","Salmo trutta","Sericostoma personatum","Silo pallipes","Siphonoperla torrentium","Surirella linearis","Tanypodinae","Tipulidae"
0,0,0,0,0,0.196123155193459,0.278989227264804,0.253188111264804,0,0,0,0,0.278989227264804,0.278989227264804,0,0,0,0,0,0,0,0,0,0,1,0.278989227264804,0.278989227264804,0.278989227264804,0,0.278989227264804,0.278989227264804,0,0,0.278989227264804,0.235983043164795,1,0,0.278989227264804,0,0.241839072011485,0.278989227264804,0,0,0,0.216037956011485
0,0,0,0,0,0,0.00337382456,0.00337382456,0,0,0,0,0.00337382456,0.00337382456,0,0,0,0,0,0,0,0,0,0,0,0.00337382456,0.00337382456,0.00337382456,0,0.00337382456,0.00337382456,0,0,0.00337382456,0,0,0,0.00337382456,0,0.00337382456,0.00337382456,0,0,0,0.00337382456
0,0,0,0,0,0,0,0,0,0.031911038742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031911038742,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.000610448204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000610448204,0,0,0,0,0,0,0,0,0,0,0.000610448204,0,0,0.000610448204,0,0,0,0,0,0
0,0,0,0,0,0,3.7472000004e-07,3.7472000004e-07,0,0,0,0,3.7472000004e-07,3.7472000004e-07,0,0,0,0,0,0,0,0,0,0,0,3.7472000004e-07,3.7472000004e-07,3.7472000004e-07,0,3.7472000004e-07,3.7472000004e-07,0,0,3.7472000004e-07,3.7472000004e-07,0,0,3.7472000004e-07,0,3.7472000004e-07,3.7472000004e-07,0,0,0,3.7472000004e-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000476555849,0,0,0,0,0,0
0,0,0,0,0,0,0.00738107552,0.00738107552,0,0,0,0,0.00738107552,0.00738107552,0,0,0,0,0,0,0,0,0,0,0,0.00738107552,0.00738107552,0.00738107552,0,0.00738107552,0.00738107552,0,0,0.00738107552,0.00738107552,0,0,0.00738107552,0,0,0.00738107552,0,0,0,0
0,0,0,0,0,0,0.06657697888,0.06657697888,0,0,0,0,0.06657697888,0.06657697888,0,0,0,0,0,0,0,0,0,0,0,0.06657697888,0.06657697888,0.06657697888,0,0.06657697888,0.06657697888,0,0,0.06657697888,0.06657697888,0,0,0.06657697888,0,0,0.06657697888,0,0,0,0
0,0,0,0,0,0,0.0003422561066374,0.0003422561066374,0,0,0,0,0.0003422561066374,0.0003422561066374,0,0,0,0,0,0,0,0,0,0,0,0.0003422561066374,0.0003422561066374,0.0003422561066374,0,0.0003422561066374,0.0003422561066374,0,0,0.0003422561066374,0.0003422561066374,0,0,0.0003422561066374,0,0,0.0003422561066374,0,0,0,0
0,0,0,0,0,0.196123155193459,0.278989227264804,0.253188111264804,0,0,0,0,0.278989227264804,0.278989227264804,0,0,0,0,0,0,0,0,0,0,0,0.278989227264804,0.278989227264804,0.278989227264804,0,0.278989227264804,0.278989227264804,0,0,0.278989227264804,0.235983043164795,0,0,0.278989227264804,0,0.241839072011485,0.278989227264804,0,0,0,0.216037956011485
0,0,0,0,0,0.0001096056,0.0001096056,0.0001096056,0,0,0,0,0.0001096056,0.0001096056,0,0,0,0,0,0,0,0,0,0,0,0.0001096056,0.0001096056,0.0001096056,0,0.0001096056,0.0001096056,0,0,0.0001096056,0,0,0,0.0001096056,0,0.0001096056,0.0001096056,0,0,0,0.0001096056
0,0,0,0,0,0.082406544,0.082406544,0.082406544,0,0,0,0,0.082406544,0.082406544,0,0,0,0,0,0,0,0,0,0,0,0.082406544,0.082406544,0.082406544,0,0.082406544,0.082406544,0,0,0.082406544,0,0,0,0.082406544,0,0.082406544,0.082406544,0,0,0,0.082406544
0,0,0,0,0,0.006794841906918,0.006794841906918,0.006794841906918,0,0,0,0,0.006794841906918,0.006794841906918,0,0,0,0,0,0,0,0,0,0,0,0.006794841906918,0.006794841906918,0.006794841906918,0,0.006794841906918,0.006794841906918,0,0,0.006794841906918,0.006794841906918,0,0,0.006794841906918,0,0.006794841906918,0.006794841906918,0,0,0,0.006794841906918
0,0,0,0,0,0,0,0,0,0.000112512484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112512484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112512484,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192069304,0,0,0,0,0,0,0,0,0,0,0.00192069304,0,0,0.00192069304,0,0,0.00192069304,0,0,0
0,0,0,0,0,0,0,0,0.010119622986,0.010119622986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010119622986,0,0,0,0,0,0,0,0,0,0,0.010119622986,0,0,0.010119622986,0,0,0.010119622986,0,0.010119622986,0
0,0,0,0,0,0,0,0,2.214112e-05,2.214112e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.214112e-05,0,0,0,0,0,0,0,0,0,0,2.214112e-05,0,0,2.214112e-05,0,0,2.214112e-05,0,2.214112e-05,0
0,0,0,0,0,0,0,0,0,0.001666803834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666803834,0,0,0,0,0,0
0,0,0,0,0,0,0.0001223940400173,0.0001223940400173,0,0,0,0,0.0001223940400173,0.0001223940400173,0,0,0,0,0,0,0,0,0,0,0,0.0001223940400173,0.0001223940400173,0.0001223940400173,0,0.0001223940400173,0.0001223940400173,0,0,0.0001223940400173,0,0,0,0.0001223940400173,0,0.0001223940400173,0.0001223940400173,0,0,0,0.0001223940400173
0,0,0,0,0,0,0,0,0,0.000178686773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178686773,0,0,0,0,0.000178686773,0
0,0,0,0,0,0,0,0,0,0.001158080322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001158080322,0,0,0,0,0.001158080322,0
0,0,0,0,0,0.3029236976,0.3029236976,0.3029236976,0,0,0,0,0.3029236976,0.3029236976,0,0,0,0,0,0,0,0,0,0,0,0.3029236976,0.3029236976,0.3029236976,0,0.3029236976,0.3029236976,0,0,0.3029236976,0.3029236976,0,0,0.3029236976,0,0.3029236976,0.3029236976,0,0,0,0.3029236976
0,0,0,0,0,1.162128e-05,1.162128e-05,1.162128e-05,0,0,0,0,1.162128e-05,1.162128e-05,0,0,0,0,0,0,0,0,0,0,0,1.162128e-05,1.162128e-05,1.162128e-05,0,1.162128e-05,1.162128e-05,0,0,1.162128e-05,1.162128e-05,0,0,1.162128e-05,0,1.162128e-05,1.162128e-05,0,0,0,1.162128e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.004271157801,0.004271157801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004271157801,0,0,0.004271157801,0,0,0.004271157801,0,0.004271157801,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02211535301,0,0,0,0,0,0,0,0,0,0,0.02211535301,0,0,0.02211535301,0,0,0.02211535301,0,0,0
0,0,0,0,0,0,0.051602232,0,0,0,0,0,0.051602232,0.051602232,0,0,0,0,0,0,0,0,0,0,0,0.051602232,0.051602232,0.051602232,0,0.051602232,0.051602232,0,0,0.051602232,0.051602232,0,0,0.051602232,0,0.051602232,0.051602232,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002746723496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002746723496,0,0,0,0,0,0,0,0,0,0,0.002746723496,0,0,0.002746723496,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262993103519902,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.2078312e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2078312e-05,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.006864067626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006864067626,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005723623125,0,0,0,0,0,0,0,0,0,0,0.005723623125,0,0,0,0,0,0.005723623125,0,0.005723623125,0
0,0,0,0,0,0,0.0004303034666437,0.0004303034666437,0,0,0,0,0.0004303034666437,0.0004303034666437,0,0,0,0,0,0,0,0,0,0,0,0.0004303034666437,0.0004303034666437,0.0004303034666437,0,0.0004303034666437,0.0004303034666437,0,0,0.0004303034666437,0.0004303034666437,0,0,0.0004303034666437,0,0.0004303034666437,0.0004303034666437,0,0,0,0.0004303034666437
0,0,0,0,0,0,0,0,2.7829816e-05,2.7829816e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7829816e-05,2.7829816e-05,0,0,0,0,2.7829816e-05,2.7829816e-05,0,0,0,0,2.7829816e-05,0,0,2.7829816e-05,2.7829816e-05,0,2.7829816e-05,0,2.7829816e-05,0
0,0,0,0,0,0,0,0,0,0.007545289548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007545289548,0,0,0,0,0.007545289548,0
