FW_name,geographic.location,longitude,latitude,ecosyste.type,study.site,temperature,pH,c.forest,fish,MN_slope,triv_length,triv_slope,buffer.landuse,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,geographic.location.updated,link.citation,link.methodology,con.size.citation,con.size.method,res.size.citation,res.size.method
Allt a'Mharcaidh,UK,-3.84959,57.11777,streams,UK streams,10,6.47,0.661346337,TRUE,-1.327865065,10.35901169,-1.107549919,Conifer,325,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Allt na Coire nan Con,UK,-5.61101,56.75857,streams,UK streams,10,5.74,1.656401443,TRUE,-1.477419667,11.09269245,-1.600993168,Conifer,10,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Beagh's Burn,UK,-6.16208,55.10064,streams,UK streams,10,5.26,0,TRUE,-1.063475997,10.99351574,-1.138987703,Moorland,150,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Bere Stream,UK,-2.20883,50.72617,streams,UK streams,10,7.5,0.939159458,TRUE,-0.549067865,3.665553224,-0.203426144,Deciduous,21,<1m,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
Broadstone Stream,UK,0.05307,51.08178,streams,UK streams,10,5.5,1.855605677,TRUE,-1.149734786,5.078443967,-0.485989691,Deciduous,95,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Coneyglen Burn,UK,-7.00459,54.7394,streams,UK streams,10,5.89,1.383777732,TRUE,-0.860610494,10.93751004,-0.798547409,Conifer,230,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
D6,UK,-3.15125,54.40691,streams,UK streams,10,6.54,0,FALSE,-1.350977656,5.724224888,-0.408728294,Moorland,250,<1m,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
Dargall Lane,UK,-4.4298,55.07752,streams,UK streams,10,5.77,0,TRUE,-1.360966653,8.792703949,-1.069120138,Moorland,225,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Duddon Pike Beck,UK,-3.17022,54.40501,streams,UK streams,10,6.05,0,TRUE,-1.009954449,8.409746667,-0.745530001,Moorland,255,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
G1,UK,-3.84368,52.10348,streams,UK streams,10,6.59,1.24252654,FALSE,-0.868334681,8.347001265,-0.792079766,Deciduous,225,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
G2,UK,-3.85487,52.10269,streams,UK streams,10,6.54,1.722000424,FALSE,-1.011112589,7.896993069,-1.081561473,Deciduous,250,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Hardknott Gill,UK,-3.17251,54.40401,streams,UK streams,10,6.96,0,TRUE,-1.364938135,9.991156586,-1.026695892,Moorland,250,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
L3,UK,-3.73477,52.14271,streams,UK streams,10,5.86,1.551861626,FALSE,-1.02969204,8.058577139,-0.951798213,Conifer,335,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
L6,UK,-3.7233,52.13286,streams,UK streams,10,6.81,0,FALSE,-0.824671429,7.790745184,-0.777699186,Moorland,315,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
L7,UK,-3.72769,52.12941,streams,UK streams,10,7.43,1.340999623,FALSE,-0.995908469,9.588276041,-0.995717244,Moorland,325,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
L8,UK,-3.74978,52.1264,streams,UK streams,10,6.04,1.933036796,FALSE,-1.090749413,9.606335919,-0.816601258,Conifer,325,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Lone Oak,UK,0.103316,51.07648,streams,UK streams,10,5.2,1.486418049,FALSE,-0.88532276,5.838719079,-0.208580634,Deciduous,100,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Mill Stream,UK,-2.18273,50.67748,streams,UK streams,10,8.4,1.035766755,TRUE,-1.433739392,14.14411943,-1.264988054,Deciduous,8,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Mosedale Beck,UK,-3.14464,54.40799,streams,UK streams,10,5.85,0.597640518,TRUE,-1.235315701,9.030112682,-0.859228317,Moorland,245,<1m,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
Nant Clywedog Uchaf,UK,-3.98294,52.14532,streams,UK streams,10,5.94,1.454975501,TRUE,-1.036462202,9.438116927,-0.694537416,Moorland,230,<1m,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Nant Gelli Gethin,UK,-3.40716,52.6479,streams,UK streams,10,7.1,0.595404293,TRUE,-0.82014546,8.832413582,-0.766119831,Moorland,290,<1m,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Nant Gwryd,UK,-3.94247,53.09602,streams,UK streams,10,6.14,0.035127828,TRUE,-0.910522708,10.4963804,-0.988963844,Moorland,210,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Nant Pen y Cwm,UK,-3.40737,52.6422,streams,UK streams,10,6.82,1.100995632,TRUE,-0.922362126,9.38768488,-0.863622394,Moorland,250,<1m,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Narrator Brook,UK,-4.01961,50.50447,streams,UK streams,10,6.03,1.231661929,TRUE,-1.451721143,11.0811155,-1.129315897,Deciduous,225,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Old Lodge,UK,0.07723,51.04404,streams,UK streams,10,5,0.041630938,TRUE,-1.126950373,8.944071192,-1.010820914,Moorland,94,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Bure,UK,1.20137,52.82422,streams,UK streams,10,7.935,0.972825524,TRUE,-0.970570179,10.04988306,-0.862384468,Deciduous,20,<1m,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Duddon,UK,-3.16112,54.40515,streams,UK streams,10,5.78,0.486226556,TRUE,-1.168780908,7.677093466,-0.778059423,Moorland,225,<1m,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
River Etherow,UK,-1.82514,53.49273,streams,UK streams,10,5.27,0.156966329,FALSE,-1.354444365,11.56432949,-1.045692069,Moorland,280,<1m,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
River Fiddich,UK,-3.111135813,57.44091616,streams,UK streams,10,7.7,1.250110933,TRUE,-0.96837266,9.512635341,-0.946039146,Deciduous,163,<1m,spring,2009,2009,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Loddon,UK,-1.01787,51.29222,streams,UK streams,10,7.855625,1.044178274,TRUE,-0.881192525,9.879528666,-0.870137898,Deciduous,60,<1m,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Lyde,UK,-1.00226,51.28754,streams,UK streams,10,8.0575,1.357833036,TRUE,-0.924383265,8.840773581,-0.91536816,Deciduous,60,<1m,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Test,UK,-1.47351,51.13945,streams,UK streams,10,8.11027027,1.125440031,TRUE,-0.904260594,8.775018697,-0.779443585,Deciduous,43,<1m,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
River Wensum,UK,0.95006,52.77651,streams,UK streams,10,7.88,0.930456576,TRUE,-0.941436256,9.68998145,-0.827536457,Deciduous,24,<1m,spring,2011,2011,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Tadnoll Brook,UK,-2.3156,50.68403,streams,UK streams,10,7.18,NA,TRUE,-0.542010567,3.312146682,-0.433216494,Deciduous,30,<1m,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Upper Duhonw,UK,-3.39794,52.12884,streams,UK streams,10,7.9,0.869700772,TRUE,-0.88822024,9.325726649,-0.778848159,Deciduous,155,<1m,spring,2012,2012,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Upper Llugwy,UK,-3.9173,53.11242,streams,UK streams,10,6.14,0.023353397,TRUE,-0.973045527,9.189206276,-0.885734132,Moorland,180,<1m,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Wrynose Pass Beck,UK,-3.12022,54.41411,streams,UK streams,10,6.42,0,FALSE,-1.276623504,8.410139345,-0.678378028,Moorland,345,<1m,spring,2005,2005,NA,NA,"updated from Layer, K., et al. (2010).  Adv Ecol Res",published account,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships,"updated from Layer, K., et al. (2010).  Adv Ecol Res",From L-W relationships
