FW_name,temperature_C,Area,Depth,Elevetation,lat,lon,ecosystem.type,sampling.start.year,sampling.end.year
GJBP2,34,4.74,0.48,0.5,-3.2391122,-39.228463,Marine,2013,2015
GJBP3,33,0.28,0.17,0.1,-3.239011,-39.228519,Marine,2013,2015
GJBP4,33,0.18,0.15,0.1,-3.239112,-39.228493,Marine,2013,2015
L1P1,19,4.2,0.44,1.5,39.286564,-9.340457,Marine,2013,2015
L1P2,20,0.39,0.2,0.5,39.286564,-9.340603,Marine,2013,2015
L1P3,20,14.62,0.31,0.5,39.286584,-9.340573,Marine,2013,2015
L1P4,21,0.16,0.1,0.5,39.286595,-9.340555,Marine,2013,2015
L2P1,19,1.12,0.32,1,39.286558,-9.339798,Marine,2013,2015
L2P2,18,5.99,0.26,1.5,39.286575,-9.339799,Marine,2013,2015
L2P3,18,0.3,0.25,1.5,39.286569,-9.339838,Marine,2013,2015
L2P4,20,0.72,0.2,2.2,39.286623,-9.33968,Marine,2013,2015
L3P1,19,14.69,0.54,2.2,39.241002,-9.343516,Marine,2013,2015
L3P2,21,0.36,0.21,2.2,39.240973,-9.343491,Marine,2013,2015
L3P3,21,10.8,0.17,1,39.241035,-9.343438,Marine,2013,2015
L3P4,22,1.68,0.14,1,39.241023,-9.343384,Marine,2013,2015
L4P1,19,4.72,0.34,2,39.241695,-9.343066,Marine,2013,2015
L4P2,18,0.93,0.14,1,39.241695,-9.343151,Marine,2013,2015
L4P3,19,0.27,0.23,1,39.241812,-9.343242,Marine,2013,2015
L4P4,20,9.09,0.29,1.1,39.241808,-9.343138,Marine,2013,2015
MBP1,24.8,1.65,0.15,1,50.357325,-4.127006,Marine,2013,2015
MBP2,19,0.17,0.12,0.9,50.357154,-4.127097,Marine,2013,2015
MBP3,18.6,1.78,0.5,1,50.358082,-4.12809,Marine,2013,2015
MBP4,21.8,0.21,0.1,0.7,50.358041,-4.12802,Marine,2013,2015
PC1P1,20,1.14,0.51,1,32.775718,-16.826017,Marine,2013,2015
PC1P2,20,0.5,0.26,1.2,32.775723,-16.826053,Marine,2013,2015
PC1P3,21,1.02,0.32,1,32.775719,-16.825975,Marine,2013,2015
PC1P4,21,1.96,0.34,1,32.775718,-16.825992,Marine,2013,2015
PC2P1,21,0.6,0.55,1.2,32.775966,-16.825909,Marine,2013,2015
PC2P2,22,13.79,0.72,0.9,32.775963,-16.825893,Marine,2013,2015
PC2P3,22,3.02,0.6,2,32.776023,-16.825907,Marine,2013,2015
PC2P4,24,1.56,0.26,1.3,32.776016,-16.825883,Marine,2013,2015
PC2P5,26,0.93,0.22,1.2,32.77602,-16.82587,Marine,2013,2015
PGSBP1,28,1.46,0.26,0.6,-23.824578,-45.412609,Marine,2013,2015
PGSBP2,31,3.27,0.11,0.1,-23.824949,-45.4131,Marine,2013,2015
PGUBP1,24,0.32,0.21,1.4,-23.466834,-45.060145,Marine,2013,2015
PGUBP2,26,0.55,0.37,1.6,-23.466831,-45.060127,Marine,2013,2015
PGUBP3,28.5,0.43,0.73,0.7,-23.466854,-45.060104,Marine,2013,2015
PGUBP4,30,0.53,0.23,0.5,-23.466893,-45.060094,Marine,2013,2015
PP1I1,21.2,3.26,0.2,1.2,48.493018,-68.500248,Marine,2013,2015
PP1I2,19.3,1.43,0.16,1.2,48.492827,-68.50058,Marine,2013,2015
PP1I3,20.5,0.91,0.14,1.7,48.49427,-68.496102,Marine,2013,2015
PP1I4,18.4,2.56,0.22,1.3,48.4938,-68.4997,Marine,2013,2015
PP2I1,12.7,0.39,0.17,1.8,48.496957,-68.49554,Marine,2013,2015
PP2I2,12.3,3.9,0.21,1.7,48.497064,-68.495416,Marine,2013,2015
PP2I3,11.04,0.47,0.15,1.7,48.497064,-68.495425,Marine,2013,2015
PP2I4,11.9,3.27,0.34,1.8,48.497256,-68.49521,Marine,2013,2015
PP2M1,11.5,0.19,0.06,1.8,48.497597,-68.494759,Marine,2013,2015
PP2M2,20.1,0.54,0.11,1.8,48.497686,-68.494574,Marine,2013,2015
PP2M3,22.4,1.31,0.1,1.7,48.497783,-68.494421,Marine,2013,2015
PP2M4,10.5,1.37,0.1,1.7,48.497865,-68.49426,Marine,2013,2015
RMP1,20,2.6,0.38,1.7,32.645518,-16.823898,Marine,2013,2015
RMP2,20,0.9,0.18,1.7,32.645521,-16.823913,Marine,2013,2015
RMP3,21,2.54,0.15,1,32.645613,-16.824067,Marine,2013,2015
RMP4,22,0.83,0.25,0.9,32.645638,-16.824114,Marine,2013,2015
RMP5,23,0.4,0.3,1.6,32.645678,-16.824072,Marine,2013,2015
RV1P1,17,5.72,0.54,0.5,38.702144,-9.475228,Marine,2013,2015
RV1P2,19,5.1,0.5,0.5,38.702092,-9.475282,Marine,2013,2015
RV1P3,18,0.37,0.1,0.6,38.702141,-9.475079,Marine,2013,2015
RV1P4,23,1.93,0.8,0.6,38.702162,-9.474987,Marine,2013,2015
RV2P1,20,1.33,0.26,0.5,38.701839,-9.474501,Marine,2013,2015
RV2P2,21,1.56,0.34,0.5,38.701801,-9.474395,Marine,2013,2015
RV2P3,19,2.27,0.13,0.5,38.701801,-9.474304,Marine,2013,2015
RV2P4,18,1.73,0.1,0.6,38.70178,-9.474294,Marine,2013,2015
SF1I1,15.4,0.81,0.29,1.8,48.612351,-68.230795,Marine,2013,2015
SF1I2,16.13,0.7,0.09,1.9,48.612273,-68.231071,Marine,2013,2015
SF1I3,15.1,1.21,0.21,0.8,48.612238,-68.230793,Marine,2013,2015
SF1I4,17.5,0.26,0.05,1.6,48.612345,-68.230795,Marine,2013,2015
SF1M1,13.4,0.95,0.11,1.5,48.612117,-68.230525,Marine,2013,2015
SF1M2,13.1,0.19,0.1,1.4,48.612209,-68.230438,Marine,2013,2015
SF1M3,12.9,2.14,0.25,1.4,48.612074,-68.230501,Marine,2013,2015
SF1M4,12.8,0.52,0.11,1.5,48.612159,-68.230736,Marine,2013,2015
SF2I1,21.2,1.71,0.11,1,48.612671,-68.22929,Marine,2013,2015
SF2I2,20.9,1.64,0.14,0.8,48.612735,-68.229356,Marine,2013,2015
SF2I3,20.1,0.41,0.1,0.8,48.612756,-68.229291,Marine,2013,2015
SF2I4,20.5,0.76,0.11,0.8,48.612827,-68.229228,Marine,2013,2015
SF2M1,21.2,4.78,0.12,0.9,48.612437,-68.22975,Marine,2013,2015
SF2M2,24.4,2.66,0.12,0.8,48.612451,-68.229598,Marine,2013,2015
SF2M3,21,0.49,0.09,0.8,48.612572,-68.229489,Marine,2013,2015
SF2M4,19.6,0.34,0.08,0.8,48.612274,-68.229777,Marine,2013,2015
SP1,33,8.46,0.21,0.3,-23.828842,-45.423545,Marine,2013,2015
WP1,20.4,2.26,0.2,1.1,50.31675,-4.083361,Marine,2013,2015
WP2,21.2,0.38,0.2,1,50.316709,-4.083136,Marine,2013,2015
WP3,19.2,5.4,0.3,1.1,50.316572,-4.082964,Marine,2013,2015
WP4,23.4,0.29,0.15,0.9,50.316449,-4.082385,Marine,2013,2015
